,name,nid,icons,utLogMap,productUrl,image,originalPrice,originalPriceShow,price,promotionId,priceShow,discount,ratingScore,review,installment,tItemType,location,cheapest_sku,sku,skus,description,brandId,brandName,sellerId,mainSellerId,sellerName,thumbs,restrictedAge,categories,clickTrace,addToCartSkus,itemId,voucherId,skuId,inStock,isAD
0,Gea Kulkas Kecil Mini Bar RS06DR ,10776092,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '100000236', 'x_ad': '1', 'x_object_id': '100000236'}",//www.lazada.co.id/products/gea-kulkas-kecil-mini-bar-rs06dr-i100000236-s100000254.html?search=1,https://id-live-01.slatic.net/original/5d80a213f4f53826847f9e275e3be903.jpg,1500000.00,Rp1.500.000,1149000.00,null,Rp1.149.000,-23%,4.673076923076923,52,,nt_product,Kota Jakarta Selatan,GE115HAAA6EYVWANID-14906503,GE115HAAA6EYVWANID,"[{'id': 'GE115HAAA6EYVWANID-14906503'}, {'id': '100000236_ID-474161822'}]","['Kunci', 'Pintu Stainless', 'Pintu bisa dibalik', 'Kaki bisa diatur', 'Daya : 82 Watt']",9053,GEA,22914,22914,Sinar Terang 1,"[{'image': 'https://id-live-01.slatic.net/original/5d80a213f4f53826847f9e275e3be903.jpg', 'productUrl': '//www.lazada.co.id/products/gea-kulkas-kecil-mini-bar-rs06dr-i100000236-s100000254.html?search=1', 'sku': 'GE115HAAA6EYVWANID', 'skuId': '100000254'}, {'image': 'https://id-live-01.slatic.net/original/fa73c0c4b4ea5687807d59a10291b74f.jpg', 'productUrl': '//www.lazada.co.id/products/gea-kulkas-kecil-mini-bar-rs06dr-i100000236-s474161822.html?search=1', 'sku': '100000236_ID', 'skuId': '474161822'}]",0,"[10100871, 16308]",query:;nid:10776092;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:GE115HAAA6EYVWANID;price:1149000.00;client:desktop;supplier_id:22914;asc_category_id:16308;item_id:100000236;sku_id:100000254;shop_id:91316,"[{'sku': 'GE115HAAA6EYVWANID-14906503', 'skuId': '100000254', 'count': 0}]",100000236,,100000254,True,0
1,GEA MINI BAR RS 06 SILVER,449064823,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '449064823', 'x_ad': '1', 'x_object_id': '449064823'}",//www.lazada.co.id/products/gea-mini-bar-rs-06-silver-i449064823-s1175762530.html?search=1,https://id-test-11.slatic.net/p/76f6ef3cd59df69ba69ca2b1ab347a01.jpg,2000000.00,Rp2.000.000,1090900.00,null,Rp1.090.900,-45%,5.0,3,,nt_product,Kota Jakarta Pusat,449064823_ID-1175762530,449064823_ID,[{'id': '449064823_ID-1175762530'}],"['Ada Kunci', 'Pintu bisa dibalik', 'Daya 82 watt', 'Kaki bisa diatur']",9053,GEA,3928,3928,Toko Bahagia Elektronika,"[{'image': 'https://id-test-11.slatic.net/p/76f6ef3cd59df69ba69ca2b1ab347a01.jpg', 'productUrl': '//www.lazada.co.id/products/gea-mini-bar-rs-06-silver-i449064823-s1175762530.html?search=1', 'sku': '449064823_ID', 'skuId': '1175762530'}]",0,"[10100871, 16308]",query:;nid:449064823;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:449064823_ID;price:1090900.00;client:desktop;supplier_id:3928;asc_category_id:16308;item_id:449064823;sku_id:1175762530;shop_id:14855,"[{'sku': '449064823_ID-1175762530', 'skuId': '1175762530', 'count': 0}]",449064823,,1175762530,True,0
2,"GEA MINI BAR RS 06 DB-HITAM khusus JAKARTA SELATAN,BARAT,TIMUR DAN UTARA",48549443,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '140255745', 'x_ad': '1', 'x_object_id': '140255745'}",//www.lazada.co.id/products/gea-mini-bar-rs-06-db-hitam-khusus-jakarta-selatanbarattimur-dan-utara-i140255745-s150621506.html?search=1,https://id-test-11.slatic.net/p/15/gea-mini-bar-rs-06-db-hitam-7337-34494584-cdcc5bbb1cc8d8715f7e911371344891-catalog_233.jpg,1300000.00,Rp1.300.000,1099900.00,null,Rp1.099.900,-15%,4.586206896551724,58,,nt_product,Kota Jakarta Pusat,GE115HAAASWKZNANID-65163098,GE115HAAASWKZNANID,[{'id': 'GE115HAAASWKZNANID-65163098'}],"['Ada Kunci', 'Pintu bisa dibalik', 'Daya 82 watt', 'Kaki bisa diatur']",9053,GEA,3928,3928,Toko Bahagia Elektronika,"[{'image': 'https://id-test-11.slatic.net/p/15/gea-mini-bar-rs-06-db-hitam-7337-34494584-cdcc5bbb1cc8d8715f7e911371344891-gallery.jpg', 'productUrl': '//www.lazada.co.id/products/gea-mini-bar-rs-06-db-hitam-khusus-jakarta-selatanbarattimur-dan-utara-i140255745-s150621506.html?search=1', 'sku': 'GE115HAAASWKZNANID', 'skuId': '150621506'}]",0,"[10100871, 16308]",query:;nid:48549443;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:GE115HAAASWKZNANID;price:1099900.00;client:desktop;supplier_id:3928;asc_category_id:16308;item_id:140255745;sku_id:150621506;shop_id:14855,"[{'sku': 'GE115HAAASWKZNANID-65163098', 'skuId': '150621506', 'count': 0}]",140255745,202291208503928,150621506,True,0
3,GEA Kulkas Mini Portabel - RS-06DR - Silver - Khusus JABODETABEK,7296010,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '7254394', 'x_ad': '1', 'x_object_id': '7254394'}",//www.lazada.co.id/products/gea-kulkas-mini-portabel-rs-06dr-silver-khusus-jabodetabek-i7254394-s9257544.html?search=1,https://id-live-01.slatic.net/original/9d98a3d9e6985dbd5b8a2901c5c6bd4d.jpg,2199000.00,Rp2.199.000,1189000.00,null,Rp1.189.000,-46%,4.0,3,,nt_product,Kota Jakarta Utara,GE115ELAA4CDMYANID-8494040,GE115ELAA4CDMYANID,[{'id': 'GE115ELAA4CDMYANID-8494040'}],"['Ada Kunci', 'Pintu bisa dibalik', 'Daya 82 watt', 'Kaki bisa diatur']",9053,GEA,54033,54033,Station Electronic (Home Appliances),"[{'image': 'https://id-live-01.slatic.net/original/9d98a3d9e6985dbd5b8a2901c5c6bd4d.jpg', 'productUrl': '//www.lazada.co.id/products/gea-kulkas-mini-portabel-rs-06dr-silver-khusus-jabodetabek-i7254394-s9257544.html?search=1', 'sku': 'GE115ELAA4CDMYANID', 'skuId': '9257544'}]",0,"[10100871, 16308]",query:;nid:7296010;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:GE115ELAA4CDMYANID;price:1189000.00;client:desktop;supplier_id:54033;asc_category_id:16308;item_id:7254394;sku_id:9257544;shop_id:120050,"[{'sku': 'GE115ELAA4CDMYANID-8494040', 'skuId': '9257544', 'count': 0}]",7254394,,9257544,True,0
4,Gea RS-06DR Kulkas Portable Mini Bar - Hitam-KHUSUS JABODETABEK,846892608,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '846892608', 'x_ad': '1', 'x_object_id': '846892608'}",//www.lazada.co.id/products/gea-rs-06dr-kulkas-portable-mini-bar-hitam-khusus-jabodetabek-i846892608-s1216934078.html?search=1,https://id-test-11.slatic.net/p/074a063c760ff5eb9cad99d89af1d77d.jpg,1850000.00,Rp1.850.000,1285500.00,null,Rp1.285.500,-31%,0,,,nt_product,Kota Jakarta Barat,846892608_ID-1216934078,846892608_ID,[{'id': '846892608_ID-1216934078'}],"['Khusus Pengiriman Jabodetabek Bila Pengiriman Luar Kota Komfirmasi dahulu !!!!!!!!!!!!!!!', 'Barang NEW, 100% Ori, Resmi garansi GEA 1th', 'GEA Mini Portabel RS-06DR Kulkas - Black merupakan kulkas yang dapat digunakan untuk menyimpan aneka minuman soft drink atau buah-buahan. GEA Mini Bar RS-06DR ini terbuat dari material stainless steel, pintu nya dapat dibalik dengan rak untuk botol berukuran 2 liter serta memiliki kaki kulkas yang dapat diatur.', 'Fitur :', 'Pintu stainless steel', 'Dimensi : 43.9x47x51cm', 'volume : 46liter', 'konsumsi listrik : 82w', 'Garansi Resmi 1 Tahun', 'Pintu dapat dibalik', 'Rak pintu untuk botol 2 L', 'Kaki dapat diatur', 'Kunci dan Static Cooling']",9053,GEA,100106731,100106731,CUKONG BETAWI ELECTRONIK,"[{'image': 'https://id-test-11.slatic.net/p/074a063c760ff5eb9cad99d89af1d77d.jpg', 'productUrl': '//www.lazada.co.id/products/gea-rs-06dr-kulkas-portable-mini-bar-hitam-khusus-jabodetabek-i846892608-s1216934078.html?search=1', 'sku': '846892608_ID', 'skuId': '1216934078'}]",0,"[10100871, 16308]",query:;nid:846892608;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:846892608_ID;price:1285500.00;client:desktop;supplier_id:100106731;asc_category_id:16308;item_id:846892608;sku_id:1216934078;shop_id:234387,"[{'sku': '846892608_ID-1216934078', 'skuId': '1216934078', 'count': 0}]",846892608,,1216934078,True,0
5,GEA Kulkas Mini Bar - RS06DR-BK - Hitam - Khusus Jabodetabek,7389626,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '7467471', 'x_ad': '1', 'x_object_id': '7467471'}",//www.lazada.co.id/products/gea-kulkas-mini-bar-rs06dr-bk-hitam-khusus-jabodetabek-i7467471-s9504714.html?search=1,https://id-test-11.slatic.net/p/15/gea-kulkas-mini-bar-rs06dr-bk-hitam-khusus-jabodetabek-3048-6269837-e5f81aa5032f3d24bc91d0f3fb3489fb-catalog_233.jpg,2199000.00,Rp2.199.000,1199000.00,null,Rp1.199.000,-45%,5.0,1,,nt_product,Kota Jakarta Utara,GE115HAAA4EDVEANID-8622830,GE115HAAA4EDVEANID,[{'id': 'GE115HAAA4EDVEANID-8622830'}],"['Ada Kunci', 'Pintu bisa dibalik', 'Daya 82 watt', 'Kaki bisa diatur', 'Rak pintu untuk botol 2 Liter', 'Khusus Jabodetabek']",9053,GEA,54033,54033,Station Electronic (Home Appliances),"[{'image': 'https://id-test-11.slatic.net/p/15/gea-kulkas-mini-bar-rs06dr-bk-hitam-khusus-jabodetabek-3048-6269837-e5f81aa5032f3d24bc91d0f3fb3489fb-gallery.jpg', 'productUrl': '//www.lazada.co.id/products/gea-kulkas-mini-bar-rs06dr-bk-hitam-khusus-jabodetabek-i7467471-s9504714.html?search=1', 'sku': 'GE115HAAA4EDVEANID', 'skuId': '9504714'}]",0,"[10100871, 16308]",query:;nid:7389626;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:GE115HAAA4EDVEANID;price:1199000.00;client:desktop;supplier_id:54033;asc_category_id:16308;item_id:7467471;sku_id:9504714;shop_id:120050,"[{'sku': 'GE115HAAA4EDVEANID-8622830', 'skuId': '9504714', 'count': 0}]",7467471,,9504714,True,0
6,GEA Display Cooler / Showcase EXPO-50 - Putih - Khusus JABODETABEK,1448100,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '1028867', 'x_ad': '1', 'x_object_id': '1028867'}",//www.lazada.co.id/products/gea-display-cooler-showcase-expo-50-putih-khusus-jabodetabek-i1028867-s1225953.html?search=1,https://id-test-11.slatic.net/p/gea-display-cooler-showcase-expo-50-putih-khusus-jabodetabek-5411-0018441-da9cf2615bea1526580c3df646b0ad46-catalog_233.jpg,NaN,NaN,1600900.00,null,Rp1.600.900,NaN,0,0,Tersedia Pilihan Cicilan,nt_product,Kota Jakarta Pusat,GE115HABF1D0ANID-1372653,GE115HABF1D0ANID,[{'id': 'GE115HABF1D0ANID-1372653'}],"['Interior Lamp On Top', 'Fan Cooling System', 'Double Layer Glass Door', 'Adjustable Shelves']",9053,GEA,3928,3928,Toko Bahagia Elektronika,"[{'image': 'https://id-test-11.slatic.net/p/gea-display-cooler-showcase-expo-50-putih-khusus-jabodetabek-5411-0018441-da9cf2615bea1526580c3df646b0ad46-gallery.jpg', 'productUrl': '//www.lazada.co.id/products/gea-display-cooler-showcase-expo-50-putih-khusus-jabodetabek-i1028867-s1225953.html?search=1', 'sku': 'GE115HABF1D0ANID', 'skuId': '1225953'}]",0,"[10100871, 16308]",query:;nid:1448100;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:GE115HABF1D0ANID;price:1600900.00;client:desktop;supplier_id:3928;asc_category_id:16308;item_id:1028867;sku_id:1225953;shop_id:14855,"[{'sku': 'GE115HABF1D0ANID-1372653', 'skuId': '1225953', 'count': 0}]",1028867,202291208503928203027413203928,1225953,True,0
7,GEA Kulkas Mini Portabel / Mini Bar RS-06DR - Khusus Jabodetabek,428843,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '249792', 'x_ad': '1', 'x_object_id': '249792'}",//www.lazada.co.id/products/gea-kulkas-mini-portabel-mini-bar-rs-06dr-khusus-jabodetabek-i249792-s303559.html?search=1,https://id-test-11.slatic.net/p/2/gea-kulkas-mini-portabel-mini-bar-rs-06dr-khusus-jabodetabek-2807-348824-a2d5ffa035054aeabae64a7c2deaa81a-catalog_233.jpg,NaN,NaN,1225000.00,null,Rp1.225.000,NaN,3.4,5,Tersedia Pilihan Cicilan,nt_product,Kota Jakarta Timur,GE115ELAJ6WBANID-469059,GE115ELAJ6WBANID,[{'id': 'GE115ELAJ6WBANID-469059'}],"['Kunci', 'Pintu Stainless', 'Pintu bisa dibalik', 'Kaki bisa diatur', 'Daya : 82 Watt']",9053,GEA,480,480,Mega Solution,"[{'image': 'https://id-test-11.slatic.net/p/2/gea-kulkas-mini-portabel-mini-bar-rs-06dr-khusus-jabodetabek-2807-348824-a2d5ffa035054aeabae64a7c2deaa81a-gallery.jpg', 'productUrl': '//www.lazada.co.id/products/gea-kulkas-mini-portabel-mini-bar-rs-06dr-khusus-jabodetabek-i249792-s303559.html?search=1', 'sku': 'GE115ELAJ6WBANID', 'skuId': '303559'}]",0,"[10100871, 16308]",query:;nid:428843;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:GE115ELAJ6WBANID;price:1225000.00;client:desktop;supplier_id:480;asc_category_id:16308;item_id:249792;sku_id:303559;shop_id:80229,"[{'sku': 'GE115ELAJ6WBANID-469059', 'skuId': '303559', 'count': 0}]",249792,100226731002439110022671,303559,True,0
8,GEA Kulkas Mini Portabel / Mini Bar RS-06DR - Grey - KHUSUS JABODETABEK,1102791,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '564097', 'x_ad': '1', 'x_object_id': '564097'}",//www.lazada.co.id/products/gea-kulkas-mini-portabel-mini-bar-rs-06dr-grey-khusus-jabodetabek-i564097-s687835.html?search=1,https://id-test-11.slatic.net/p/2/gea-getra-rsa-commercial-refrigeration-mini-bar-rs-06dr-abu-abu-5828-1972011-bd6254b558e3dc5c3d10f843e7441725-catalog_233.jpg,NaN,NaN,1550000.00,null,Rp1.550.000,NaN,3.3333333333333335,3,Tersedia Pilihan Cicilan,nt_product,Kota Jakarta Timur,GE115ELAXMX3ANID-987281,GE115ELAXMX3ANID,[{'id': 'GE115ELAXMX3ANID-987281'}],"['GEA RS-06DR', 'Kulkas Mini Bar', 'Pintu Stainless Steel', 'Kunsi dan Static Cooling', 'Temp. 0 s/d +8&deg;C', '82 Watt', 'Garansi Resmi 1 Tahun', 'Khusus JABODETABEK']",9053,GEA,1906,1906,GEA ONLINE,"[{'image': 'https://id-test-11.slatic.net/p/2/gea-getra-rsa-commercial-refrigeration-mini-bar-rs-06dr-abu-abu-5828-1972011-bd6254b558e3dc5c3d10f843e7441725-gallery.jpg', 'productUrl': '//www.lazada.co.id/products/gea-kulkas-mini-portabel-mini-bar-rs-06dr-grey-khusus-jabodetabek-i564097-s687835.html?search=1', 'sku': 'GE115ELAXMX3ANID', 'skuId': '687835'}]",0,"[10100871, 16308]",query:;nid:1102791;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:GE115ELAXMX3ANID;price:1550000.00;client:desktop;supplier_id:1906;asc_category_id:16308;item_id:564097;sku_id:687835;shop_id:81359,"[{'sku': 'GE115ELAXMX3ANID-987281', 'skuId': '687835', 'count': 0}]",564097,,687835,True,0
9,GEA GF-350 KITCHEN FREEZER CABINET / KULKAS 1 PINTU [Khusus JABODETABEK],14832982,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '102597390', 'x_ad': '1', 'x_object_id': '102597390'}",//www.lazada.co.id/products/gea-gf-350-kitchen-freezer-cabinet-kulkas-1-pintu-khusus-jabodetabek-i102597390-s102955181.html?search=1,https://id-test-11.slatic.net/p/15/gea-gf-350-kitchen-freezer-cabinet-kulkas-1-pintu-khusus-jabodetabek-2776-28923841-31699f6ea1d239dd031669123caaf2f8-catalog_233.jpg,7700000.00,Rp7.700.000,6995000.00,null,Rp6.995.000,-9%,1.0,1,,nt_product,Kota Jakarta Pusat,GE115HAAA8TX7AANID-20744341,GE115HAAA8TX7AANID,[{'id': 'GE115HAAA8TX7AANID-20744341'}],"['GEA GF-350', 'Kulkas 1 Pintu', 'Kapasitas : 350 Liter', 'Watt : 220 watt', 'Temperature : -14 s/d -20 Celcius', 'Freon : R600a', 'Garansi produk : 1 Tahun Garansi Service, Spare Part dan Compressor Khusus JABODETABEK']",9053,GEA,3928,3928,Toko Bahagia Elektronika,"[{'image': 'https://id-test-11.slatic.net/p/15/gea-gf-350-kitchen-freezer-cabinet-kulkas-1-pintu-khusus-jabodetabek-2776-28923841-31699f6ea1d239dd031669123caaf2f8-gallery.jpg', 'productUrl': '//www.lazada.co.id/products/gea-gf-350-kitchen-freezer-cabinet-kulkas-1-pintu-khusus-jabodetabek-i102597390-s102955181.html?search=1', 'sku': 'GE115HAAA8TX7AANID', 'skuId': '102955181'}]",0,"[10100871, 16308]",query:;nid:14832982;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:GE115HAAA8TX7AANID;price:6995000.00;client:desktop;supplier_id:3928;asc_category_id:16308;item_id:102597390;sku_id:102955181;shop_id:14855,"[{'sku': 'GE115HAAA8TX7AANID-20744341', 'skuId': '102955181', 'count': 0}]",102597390,202291208503928203027413203928,102955181,True,0
10,GEA Refrigerator RS06DR - Kulkas 1 Pintu - Silver,2910674,[],"{'x_object_type': 'item', 'hyperspace_bts': 'tr_bt:1;jinnang_bid:3;doufukuai_bid:4;search_engine_bid:6;gs_jinnang_bid:3;gs_tcbid:5;golden_slots_for_redmart:true;new_rank:2;gs_title_completion:2;gs_shipping_origin:1;rerank_size_improvement_bid:;rank_size_improvement_bid:1;degrade_by_user_level:;ul_hit:;sp_common_level_bid:1;sp_common_level_bid_l2:1;sp_common_level_bid_l3:8;rank_optimize:;lang_detect:1;business_bid:2;spell_correct_bid:2;lzd_search_rerank_bid:6;search_recall_bucket_id:0;use_phrase_v2:0;sp_common_level_bid_l5:0', 'x_item_ids': '2408910', 'x_ad': '1', 'x_object_id': '2408910'}",//www.lazada.co.id/products/gea-refrigerator-rs06dr-kulkas-1-pintu-silver-i2408910-s2897579.html?search=1,https://id-test-11.slatic.net/p/gea-refrigerator-rs06dr-kulkas-1-pintu-silver-0551-4760192-3ef751f848eea8801e37d6d97a691400-catalog_233.jpg,NaN,NaN,1359000.00,null,Rp1.359.000,NaN,0,,Tersedia Pilihan Cicilan,nt_product,Kota Jakarta Selatan,GE115HACKDW2ANID-3155697,GE115HACKDW2ANID,[{'id': 'GE115HACKDW2ANID-3155697'}],"['Mini redrigerator untuk menyimpan minuman dan makanan di hotel atau dikamar tidur', 'Dilengkapi kunci', 'Stainless door']",9053,GEA,25009,25009,Indah Jaya Electric,"[{'image': 'https://id-test-11.slatic.net/p/gea-refrigerator-rs06dr-kulkas-1-pintu-silver-0551-4760192-3ef751f848eea8801e37d6d97a691400-gallery.jpg', 'productUrl': '//www.lazada.co.id/products/gea-refrigerator-rs06dr-kulkas-1-pintu-silver-i2408910-s2897579.html?search=1', 'sku': 'GE115HACKDW2ANID', 'skuId': '2897579'}]",0,"[10100871, 16308]",query:;nid:2910674;src:LazadaMainSrp;rn:8848003fcdc11c299ed281498fe45445;region:id;sku:GE115HACKDW2ANID;price:1359000.00;client:desktop;supplier_id:25009;asc_category_id:16308;item_id:2408910;sku_id:2897579;shop_id:92647,"[{'sku': 'GE115HACKDW2ANID-3155697', 'skuId': '2897579', 'count': 0}]",2408910,,2897579,True,0
