,link,name,rating,is_advance,load_date
0,"https://21cineplex.com/judy,5920,20JUDY.htm",Judy,R13+,,2020-02-12 07:19:19
1,"https://21cineplex.com/fantasy-island,5871,20FISD.htm",Fantasy Island,R17+,,2020-02-12 07:19:19
2,"https://21cineplex.com/imax/birds-of-prey-(imax-2d),5917,20BOX2.htm",Birds of Prey (IMAX 2D),R17+,,2020-02-12 07:19:19
3,"https://21cineplex.com/birds-of-prey,5832,20BOPY.htm",Birds of Prey,R17+,,2020-02-12 07:19:19
4,"https://21cineplex.com/the-assent,5865,18ASST.htm",The Assent,R17+,,2020-02-12 07:19:19
5,"https://21cineplex.com/nikah-yuk,5863,10NYUK.htm",Nikah Yuk!,R13+,,2020-02-12 07:19:19
6,"https://21cineplex.com/little-women,5833,19LWON.htm",Little Women,R13+,,2020-02-12 07:19:19
7,"https://21cineplex.com/mangkujiwo,5829,10MANO.htm",Mangkujiwo,R17+,,2020-02-12 07:19:19
8,"https://21cineplex.com/semesta,5764,10SEMA.htm",Semesta,SEMUA UMUR,,2020-02-12 07:19:19
9,"https://21cineplex.com/the-courier,5702,19COUR.htm",The Courier,R17+,,2020-02-12 07:19:19
10,"https://21cineplex.com/enter-the-fat-dragon,5830,18ETFD.htm",Enter the Fat Dragon,R17+,,2020-02-12 07:19:19
11,"https://21cineplex.com/akhir-kisah-cinta-si-doel,5767,10AKCS.htm",Akhir Kisah Cinta Si Doel,R13+,,2020-02-12 07:19:19
12,"https://21cineplex.com/nanti-kita-cerita-tentang-hari-inidirectors-cut,5914,10NKDC.htm",Nanti Kita Cerita Tentang Hari Ini - Director's Cut,R13+,,2020-02-12 07:19:19
13,"https://21cineplex.com/bad-boys-for-life,5765,20BBFL.htm",Bad Boys for Life,R17+,,2020-02-12 07:19:19
14,"https://21cineplex.com/dolittle,5766,20DOLE.htm",Dolittle,SEMUA UMUR,,2020-02-12 07:19:19
15,"https://21cineplex.com/underwater,5745,20UNDR.htm",Underwater,R13+,,2020-02-12 07:19:19
16,"https://21cineplex.com/bombshell,5694,19BOML.htm",Bombshell,R17+,,2020-02-12 07:19:19
17,"https://21cineplex.com/ip-man-4-the-finale,5701,18IMN4.htm",Ip Man 4: The Finale,R17+,,2020-02-12 07:19:19
18,"https://21cineplex.com/the-poison-rose,5263,18PROE.htm",The Poison Rose,R17+,,2020-02-12 07:19:19
19,"https://21cineplex.com/kucumbu-tubuh-indahku,5144,09KTIU.htm",Kucumbu Tubuh Indahku,R17+,,2020-02-12 07:19:19
